date,description,amount_inr,bank_reference,merchant_id,store_id,status
02-08-2026,Razorpay Settlement FLIPKART-FK_DELHI-B001,-1351.93,REFFLHI20260801,flipkart,fk_delhi,RECONCILED
03-08-2026,Razorpay Settlement FLIPKART-FK_DELHI-B002,1202.93,REFFLHI20260802,flipkart,fk_delhi,RECONCILED
03-08-2026,Razorpay Settlement FLIPKART-FK_MUMBAI-B001,-1183.67,REFFLAI20260801,flipkart,fk_mumbai,RECONCILED
03-08-2026,Razorpay Settlement FLIPKART-FK_BANGALORE-B001,-1657.7,REFFLRE20260801,flipkart,fk_bangalore,RECONCILED
03-08-2026,Razorpay Settlement AMAZON-AZ_DELHI-B001,2133.85,REFAMHI20260801,amazon,az_delhi,RECONCILED
03-08-2026,Razorpay Settlement AMAZON-AZ_MUMBAI-B001,1101.11,REFAMAI20260801,amazon,az_mumbai,RECONCILED
03-08-2026,Razorpay Settlement AMAZON-AZ_BANGALORE-B001,639.29,REFAMRE20260801,amazon,az_bangalore,RECONCILED
04-08-2026,Razorpay Settlement FLIPKART-FK_KOLKATA-B001,1075.02,REFFLTA20260801,flipkart,fk_kolkata,RECONCILED
04-08-2026,Razorpay Settlement FLIPKART-FK_DELHI-B003,2052.32,REFFLHI20260803,flipkart,fk_delhi,RECONCILED
04-08-2026,Razorpay Settlement AMAZON-AZ_MUMBAI-B002,1184.1,REFAMAI20260802,amazon,az_mumbai,RECONCILED
04-08-2026,Razorpay Settlement AMAZON-AZ_BANGALORE-B002,1771.83,REFAMRE20260802,amazon,az_bangalore,RECONCILED
04-08-2026,Razorpay Settlement AMAZON-AZ_HYDERABAD-B001,4483.57,REFAMAD20260801,amazon,az_hyderabad,RECONCILED
05-08-2026,Razorpay Settlement FLIPKART-FK_KOLKATA-B002,5284.97,REFFLTA20260802,flipkart,fk_kolkata,RECONCILED
05-08-2026,Razorpay Settlement AMAZON-AZ_BANGALORE-B003,1801.73,REFAMRE20260803,amazon,az_bangalore,RECONCILED
05-08-2026,Razorpay Settlement AMAZON-AZ_HYDERABAD-B002,2097.93,REFAMAD20260802,amazon,az_hyderabad,RECONCILED
05-08-2026,Razorpay Settlement AMAZON-AZ_DELHI-B002,1625.23,REFAMHI20260802,amazon,az_delhi,RECONCILED
06-08-2026,Razorpay Settlement FLIPKART-FK_KOLKATA-B003,2699.44,REFFLTA20260803,flipkart,fk_kolkata,RECONCILED
06-08-2026,Razorpay Settlement FLIPKART-FK_BANGALORE-B002,3557.79,REFFLRE20260802,flipkart,fk_bangalore,RECONCILED
06-08-2026,Razorpay Settlement FLIPKART-FK_DELHI-B004,198.45,REFFLHI20260804,flipkart,fk_delhi,RECONCILED
